miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-148a-5p,0.338,"Fallopian tube [0.06], Colon [0.05], Testis [0.05]",0.334,"Pancreas [0.06], Stomach [0.05], Liver [0.05]",0.004,1,3,0.539,2.62e-05,9.38e-01,3.12e-01,NS,198.877,1216.542,116.444,664.81,-0.612,396.0,1.84e-01,2.25e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-654-3p,0.334,"Testis [0.06], Fallopian tube [0.06], Peritoneum [0.05]",0.455,"Adrenal Gland [0.07], Brain [0.05], Testis [0.05]",-0.12,1,7,-1.1,2.59e-07,9.96e-01,3.52e-02,DOWN,92.001,1034.956,161.028,785.867,0.895,191.0,1.19e-02,1.77e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181a-3p,0.333,"Bone Marrow [0.06], Thymus [0.06], Thorax [0.06]",0.5,"Spleen [0.07], Brain [0.07], Lung [0.07]",-0.167,6,1,0.67,5.75e-10,6.25e-02,9.92e-01,NS,12.591,61.654,1282.251,9680.605,5.94,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-15b-3p,0.331,"Lymph nodes [0.06], Bone Marrow [0.06], Thorax [0.05]",0.563,"Whole Blood [0.08], Spleen [0.06], Lung [0.05]",-0.232,6,0,0.982,5.19e-10,1.56e-02,1.00e+00,UP,22.078,253.272,102.227,522.815,2.515,45.0,1.39e-07,7.03e-07,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-511-5p,0.328,"Lung [0.06], Skin [0.06], Soft Tissues [0.06]",0.472,"Lung [0.07], Spleen [0.06], Omentum [0.06]",-0.144,1,4,-1.18,4.76e-13,9.69e-01,1.88e-01,NS,48.015,291.809,19.784,48.486,-0.432,367.0,4.34e-01,4.82e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-455-5p,0.328,"Thorax [0.06], Thymus [0.06], Liver–Gallbladder [0.05]",0.192,"Kidney [0.05], Vagina [0.05], Liver [0.04]",0.136,3,2,0.703,8.74e-08,5.00e-01,8.12e-01,NS,627.927,1934.985,88.721,378.493,-3.013,615.0,4.90e-08,2.84e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-98-5p,0.326,"Fallopian tube [0.06], Lung [0.05], Pancreas [0.05]",0.132,"Brain [0.04], Kidney [0.04], Omentum [0.04]",0.195,0,0,0.256,1.12e-04,–,–,NS,1417.35,3280.29,511.055,3901.44,-2.036,566.0,5.86e-06,1.65e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-224-5p,0.324,"Mucosa [0.06], Lung [0.06], Pancreas [0.05]",0.407,"Omentum [0.06], Mucosa [0.06], Breast [0.06]",-0.083,13,0,1.825,1.59e-09,1.22e-04,1.00e+00,UP,193.156,1269.956,315.953,1413.66,1.017,238.0,1.03e-01,1.32e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-450b-5p,0.318,"Kidney [0.06], Soft Tissues [0.05], Pancreas [0.05]",0.574,"Testis [0.09], Fallopian Tube [0.08], Spleen [0.07]",-0.255,5,3,0.571,3.67e-12,3.63e-01,8.55e-01,NS,18.869,135.297,57.489,215.862,2.228,106.0,3.84e-05,9.16e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-200a-5p,0.317,"Colon [0.06], Stomach [0.06], Esophagus [0.06]",0.476,"Stomach [0.07], Salivary Gland [0.07], Colon–Intestine [0.07]",-0.159,7,1,1.289,4.97e-20,3.52e-02,9.96e-01,UP,178.516,912.476,903.212,3028.706,2.755,161.0,2.07e-03,3.49e-03,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-203a-3p,0.315,"Mucosa [0.06], Esophagus [0.05], Bladder [0.05]",0.53,"Skin [0.08], Mucosa [0.07], Vagina [0.06]",-0.215,5,3,0.802,2.78e-10,3.63e-01,8.55e-01,NS,1289.048,16539.437,20436.927,171655.316,5.2,65.0,1.01e-06,3.72e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-155-5p,0.315,"Lymph nodes [0.06], Bone Marrow [0.05], Skin [0.05]",0.294,"Spleen [0.05], Lung [0.05], Colon–Intestine [0.05]",0.021,6,1,1.112,5.84e-15,6.25e-02,9.92e-01,NS,1192.374,9486.907,2320.714,23523.717,0.638,222.0,5.34e-02,7.11e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-454-3p,0.315,"Fallopian tube [0.06], Kidney [0.05], Lung [0.05]",0.197,"Spleen [0.05], Heart [0.05], Lung [0.04]",0.118,5,0,0.841,4.43e-10,3.12e-02,1.00e+00,UP,171.221,457.834,59.776,203.554,-1.818,554.0,1.67e-05,4.38e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-93-3p,0.313,"Bone Marrow [0.06], Fallopian tube [0.05], Lymph nodes [0.05]",0.66,"Whole Blood [0.11], Spleen [0.05], Lung [0.05]",-0.348,6,1,0.92,1.25e-15,6.25e-02,9.92e-01,NS,13.283,207.527,41.528,148.388,2.32,30.0,2.87e-08,1.83e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-330-5p,0.311,"Lymph nodes [0.06], Skin [0.05], Bone Marrow [0.05]",0.528,"Brain [0.08], Whole Blood [0.07], Adrenal Gland [0.06]",-0.217,3,0,0.759,3.67e-11,1.25e-01,1.00e+00,NS,36.777,347.623,54.974,233.002,1.362,100.0,2.34e-05,5.94e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-141-3p,0.306,"Fallopian tube [0.06], Bladder [0.05], Esophagus [0.05]",0.469,"Stomach [0.07], Salivary Gland [0.06], Thyroid [0.06]",-0.164,7,2,0.88,4.61e-13,8.98e-02,9.80e-01,NS,130.578,685.944,1649.799,7544.712,3.974,113.0,6.74e-05,1.53e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-340-5p,0.306,"Kidney [0.06], Lung [0.05], Pancreas [0.05]",0.207,"Brain [0.05], Liver [0.04], Spleen [0.04]",0.099,3,1,0.627,1.03e-06,3.12e-01,9.38e-01,NS,572.116,2172.327,113.809,464.871,-2.682,616.0,4.41e-08,2.59e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-532-3p,0.304,"Ovary [0.06], Skin [0.05], Fallopian tube [0.04]",0.47,"Whole Blood [0.07], Kidney [0.06], Spleen [0.04]",-0.165,1,4,0.454,1.22e-09,9.69e-01,1.88e-01,NS,54.278,563.919,109.029,537.09,1.407,71.0,1.78e-06,5.86e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-195-5p,0.3,"Pancreas [0.06], Lung [0.06], Kidney [0.06]",0.134,"Ovary [0.04], Adrenal Gland [0.04], Spleen [0.04]",0.166,1,12,-1.486,7.58e-23,1.00e+00,1.71e-03,DOWN,430.283,835.296,164.758,642.624,-1.754,543.0,4.16e-05,9.82e-05,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-142-5p,0.299,"Bone Marrow [0.06], Lymph nodes [0.06], Thorax [0.05]",0.436,"Spleen [0.07], Whole Blood [0.05], Lung [0.05]",-0.138,3,1,0.823,1.24e-06,3.12e-01,9.38e-01,NS,198.887,2239.445,416.944,2006.694,1.368,177.0,5.45e-03,8.32e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-505-5p,0.297,"Bone Marrow [0.06], Lymph nodes [0.05], Ovary [0.05]",0.569,"Whole Blood [0.09], Spleen [0.06], Kidney [0.05]",-0.272,1,1,-0.006,4.41e-10,7.50e-01,7.50e-01,NS,4.508,27.648,18.068,50.234,1.889,31.0,3.20e-08,1.97e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-20a-5p,0.297,"Lymph nodes [0.06], Bone Marrow [0.05], Thymus [0.05]",0.164,"Spleen [0.05], Testis [0.05], Mucosa [0.04]",0.133,6,0,0.886,2.26e-09,1.56e-02,1.00e+00,UP,293.38,680.504,2125.485,16698.577,2.038,85.0,6.40e-06,1.76e-05,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-486-5p,0.296,"Fallopian tube [0.06], Bone Marrow [0.05], Ovary [0.05]",0.974,"Whole Blood [0.61], Fallopian Tube [0.31], Lung [0.04]",-0.678,4,8,-1.104,3.96e-10,9.27e-01,1.94e-01,NS,27.071,674.67,1291.873,9552.262,8.724,17.0,3.97e-09,4.75e-08,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-191-5p,0.296,"Fallopian tube [0.06], Bone Marrow [0.05], Ovary [0.05]",0.26,"Whole Blood [0.05], Spleen [0.04], Lung [0.04]",0.036,4,1,0.8,3.50e-13,1.88e-01,9.69e-01,NS,6123.585,62865.061,6971.151,75502.221,-0.383,395.0,1.90e-01,2.31e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-151a-5p,0.295,"Fallopian tube [0.06], Pancreas [0.05], Lung [0.05]",0.109,"Kidney [0.04], Brain [0.04], Thyroid [0.04]",0.187,3,2,0.687,5.34e-15,5.00e-01,8.12e-01,NS,221.72,390.273,614.199,4228.018,0.887,173.0,4.31e-03,6.76e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-130b-3p,0.295,"Fallopian tube [0.06], Bone Marrow [0.05], Lymph nodes [0.05]",0.4,"Pancreas [0.06], Whole Blood [0.06], Stomach [0.05]",-0.105,10,0,1.394,1.01e-17,9.77e-04,1.00e+00,UP,29.059,137.796,81.029,314.241,1.606,106.0,3.84e-05,9.16e-05,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-19b-3p,0.293,"Bone Marrow [0.06], Lymph nodes [0.06], Thymus [0.05]",0.115,"Fallopian Tube [0.04], Kidney [0.04], Spleen [0.04]",0.178,5,0,0.74,1.93e-06,3.12e-02,1.00e+00,UP,352.372,667.086,606.429,3430.592,0.121,299.0,6.31e-01,6.68e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-142-3p,0.292,"Bone Marrow [0.06], Lymph nodes [0.05], Thymus [0.05]",0.449,"Spleen [0.07], Lung [0.06], Colon–Intestine [0.05]",-0.157,7,1,1.0,4.89e-08,3.52e-02,9.96e-01,UP,172.341,2072.934,10641.682,65233.778,5.297,48.0,1.89e-07,9.19e-07,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-200a-3p,0.292,"Uterus [0.06], Pancreas [0.05], Esophagus [0.05]",0.362,"Stomach [0.06], Salivary Gland [0.06], Kidney [0.06]",-0.07,5,1,1.186,4.83e-17,1.09e-01,9.84e-01,NS,1154.279,6620.655,838.157,2933.854,-0.063,330.0,9.32e-01,9.40e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1287-5p,0.291,"Skin [0.06], Testis [0.05], Ovary [0.04]",0.326,"Heart [0.06], Testis [0.05], Adrenal Gland [0.05]",-0.034,0,1,-0.01,2.40e-05,1.00e+00,5.00e-01,NS,19.786,67.318,45.713,166.437,1.162,78.0,3.41e-06,1.01e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1301-3p,0.291,"Fallopian tube [0.06], Skin [0.05], Ovary [0.05]",0.298,"Brain [0.05], Adrenal Gland [0.05], Spleen [0.05]",-0.007,10,0,1.353,6.80e-15,9.77e-04,1.00e+00,UP,81.59,324.14,48.756,148.255,-0.729,442.0,2.82e-02,3.95e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7i-3p,0.29,"Thyroid [0.06], Bone Marrow [0.05], Ovary [0.05]",0.438,"Thyroid [0.07], Spleen [0.06], Whole Blood [0.06]",-0.147,1,1,-0.565,1.55e-09,7.50e-01,7.50e-01,NS,9.449,40.325,159.592,793.779,3.881,2.0,1.23e-09,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-149-5p,0.286,"Thorax [0.06], Ovary [0.05], Thymus [0.05]",0.306,"Brain [0.05], Skin [0.05], Mucosa [0.05]",-0.021,6,2,0.81,1.20e-06,1.45e-01,9.65e-01,NS,467.127,2778.85,253.813,885.425,-0.935,411.0,1.07e-01,1.36e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-423-5p,0.285,"Fallopian tube [0.06], Bone Marrow [0.05], Kidney [0.05]",0.351,"Whole Blood [0.06], Spleen [0.04], Omentum [0.04]",-0.066,2,1,0.414,8.57e-22,5.00e-01,8.75e-01,NS,4381.574,74849.09,403.668,2133.651,-2.719,619.0,3.20e-08,1.97e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-146a-5p,0.282,"Lymph nodes [0.05], Skin [0.05], Bone Marrow [0.05]",0.321,"Salivary Gland [0.06], Spleen [0.05], Lung [0.05]",-0.039,4,1,1.131,4.90e-11,1.88e-01,9.69e-01,NS,312.562,1790.781,932.659,4887.849,1.399,159.0,1.82e-03,3.12e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-186-5p,0.282,"Fallopian tube [0.05], Colon [0.04], Ovary [0.04]",0.236,"Whole Blood [0.05], Spleen [0.04], Lung [0.04]",0.045,0,0,0.388,9.08e-06,–,–,NS,1184.859,7153.972,1250.028,10417.076,-0.17,363.0,4.80e-01,5.27e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-22-5p,0.281,"Pancreas [0.05], Lung [0.05], Mucosa [0.05]",0.205,"Adrenal Gland [0.05], Heart [0.05], Omentum [0.04]",0.076,2,1,0.472,4.73e-05,5.00e-01,8.75e-01,NS,771.659,2829.405,72.622,247.574,-3.316,645.0,1.74e-09,3.12e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-574-3p,0.28,"Fallopian tube [0.05], Pancreas [0.05], Ovary [0.05]",0.114,"Adrenal Gland [0.04], Omentum [0.04], Vagina [0.04]",0.166,1,2,-0.517,2.46e-07,8.75e-01,5.00e-01,NS,569.787,1154.171,297.269,1608.625,-1.307,565.0,6.40e-06,1.76e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-425-5p,0.278,"Bone Marrow [0.05], Fallopian tube [0.05], Lymph nodes [0.05]",0.443,"Whole Blood [0.07], Spleen [0.05], Lung [0.04]",-0.165,6,1,0.896,3.82e-11,6.25e-02,9.92e-01,NS,1210.493,23270.717,837.221,5423.598,0.823,175.0,4.85e-03,7.49e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-500b-5p,0.277,"Kidney [0.05], Skin [0.05], Bone Marrow [0.05]",0.31,"Kidney [0.05], Testis [0.05], Spleen [0.05]",-0.033,2,3,0.407,1.28e-08,8.12e-01,5.00e-01,NS,44.659,177.725,18.936,41.771,-1.118,549.0,2.54e-05,6.37e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-500a-5p,0.277,"Kidney [0.05], Skin [0.05], Bone Marrow [0.05]",0.31,"Kidney [0.05], Testis [0.05], Spleen [0.05]",-0.033,2,3,0.408,1.12e-08,8.12e-01,5.00e-01,NS,44.659,177.725,18.962,41.773,-1.117,548.0,2.76e-05,6.75e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-196b-5p,0.276,"Colon [0.05], Bone Marrow [0.05], Uterus [0.05]",0.593,"Uterus–Cervix [0.09], Colon–Intestine [0.08], Vagina [0.08]",-0.317,8,0,1.803,3.32e-12,3.91e-03,1.00e+00,UP,84.175,509.87,1360.391,6183.743,5.441,53.0,3.13e-07,1.35e-06,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-199b-5p,0.276,"Pancreas [0.05], Lung [0.05], Soft Tissues [0.05]",0.264,"Skin [0.05], Breast [0.05], Vagina [0.05]",0.012,3,7,-0.908,3.47e-07,9.45e-01,1.72e-01,NS,276.31,945.159,569.899,2560.299,0.998,226.0,6.35e-02,8.39e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-628-5p,0.274,"Breast [0.05], Bone Marrow [0.05], Kidney [0.05]",0.471,"Brain [0.07], Heart [0.05], Testis [0.05]",-0.197,3,1,0.42,7.68e-08,3.12e-01,9.38e-01,NS,24.694,196.71,26.065,68.648,0.304,239.0,1.07e-01,1.36e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7b-3p,0.274,"Ovary [0.05], Breast [0.05], Uterus [0.05]",0.311,"Whole Blood [0.05], Omentum [0.05], Breast [0.04]",-0.037,2,1,-0.406,1.46e-06,5.00e-01,8.75e-01,NS,54.745,240.725,48.517,161.429,-0.14,333.0,8.88e-01,9.08e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1180-3p,0.272,"Ovary [0.05], Fallopian tube [0.05], Skin [0.05]",0.385,"Whole Blood [0.06], Brain [0.05], Thyroid [0.05]",-0.113,5,2,0.791,1.16e-06,2.27e-01,9.38e-01,NS,994.215,14260.971,77.868,280.459,-2.651,634.0,6.14e-09,6.21e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-134-5p,0.271,"Testis [0.05], Adrenal Gland [0.05], Peritoneum [0.05]",0.451,"Adrenal Gland [0.07], Brain [0.06], Testis [0.05]",-0.18,2,2,-0.621,1.57e-07,6.88e-01,6.88e-01,NS,125.367,1323.497,963.546,5092.128,3.285,40.0,8.29e-08,4.48e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-379-5p,0.27,"Testis [0.05], Adrenal Gland [0.05], Peritoneum [0.05]",0.339,"Adrenal Gland [0.06], Brain [0.06], Testis [0.05]",-0.07,1,6,-1.247,1.67e-15,9.92e-01,6.25e-02,NS,425.484,2963.477,2850.234,15058.038,2.546,90.0,9.94e-06,2.70e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-576-5p,0.269,"Lymph nodes [0.05], Thymus [0.05], Bone Marrow [0.05]",0.58,"Whole Blood [0.09], Spleen [0.05], Liver [0.05]",-0.312,2,1,0.672,4.32e-10,5.00e-01,8.75e-01,NS,21.038,279.304,36.64,97.342,1.378,69.0,1.48e-06,5.11e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-200c-3p,0.268,"Ovary [0.05], Bladder [0.05], Uterus [0.05]",0.292,"Salivary Gland [0.05], Thyroid [0.05], Mucosa [0.05]",-0.025,7,2,1.19,2.43e-08,8.98e-02,9.80e-01,NS,4644.966,17178.855,16213.754,98019.858,2.221,169.0,3.39e-03,5.47e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-339-5p,0.267,"Lymph nodes [0.05], Bone Marrow [0.05], Lung [0.05]",0.334,"Whole Blood [0.06], Testis [0.04], Spleen [0.04]",-0.067,2,1,0.643,7.60e-08,5.00e-01,8.75e-01,NS,155.634,1143.76,124.734,495.682,-0.304,395.0,1.90e-01,2.31e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-99b-3p,0.267,"Ovary [0.05], Skin [0.05], Testis [0.05]",0.203,"Adrenal Gland [0.05], Brain [0.04], Spleen [0.04]",0.063,4,0,0.759,2.56e-08,6.25e-02,1.00e+00,NS,245.76,730.585,146.147,593.327,-0.774,492.0,1.71e-03,2.93e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-708-5p,0.267,"Fallopian tube [0.05], Bone Marrow [0.05], Mucosa [0.05]",0.357,"Brain [0.06], Ovary [0.06], Thyroid [0.05]",-0.091,10,1,1.486,1.63e-13,5.86e-03,1.00e+00,UP,96.672,461.805,106.588,347.954,0.527,252.0,1.72e-01,2.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-143-5p,0.266,"Colon [0.05], Stomach [0.05], Prostate [0.05]",0.309,"Esophagus [0.05], Bladder [0.05], Colon–Intestine [0.05]",-0.044,2,7,-0.918,7.58e-10,9.80e-01,8.98e-02,NS,281.725,1275.251,100.938,318.454,-1.055,454.0,1.55e-02,2.23e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-598-3p,0.263,"Adrenal Gland [0.05], Lymph nodes [0.05], Thorax [0.05]",0.468,"Brain [0.07], Spleen [0.05], Adrenal Gland [0.05]",-0.205,1,3,-0.484,6.01e-07,9.38e-01,3.12e-01,NS,52.89,511.495,98.959,339.079,1.327,114.0,7.30e-05,1.62e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7d-3p,0.263,"Ovary [0.05], Bone Marrow [0.05], Thorax [0.04]",0.331,"Whole Blood [0.06], Lung [0.04], Omentum [0.04]",-0.068,0,1,0.408,6.55e-07,1.00e+00,5.00e-01,NS,405.39,3709.85,1057.714,7243.953,1.509,57.0,4.65e-07,1.91e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-328-3p,0.262,"Ovary [0.05], Adrenal Gland [0.05], Thorax [0.05]",0.222,"Whole Blood [0.05], Brain [0.04], Adrenal Gland [0.04]",0.04,0,1,-0.558,8.23e-06,1.00e+00,5.00e-01,NS,870.298,4018.085,148.919,535.144,-2.682,627.0,1.34e-08,1.10e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-331-3p,0.261,"Fallopian tube [0.05], Lymph nodes [0.05], Ovary [0.05]",0.216,"Whole Blood [0.05], Adrenal Gland [0.04], Heart [0.04]",0.046,3,2,0.482,3.60e-06,5.00e-01,8.12e-01,NS,213.524,725.577,59.126,184.884,-1.875,620.0,2.87e-08,1.83e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-324-3p,0.261,"Skin [0.05], Ovary [0.05], Lymph nodes [0.05]",0.521,"Whole Blood [0.08], Kidney [0.05], Spleen [0.04]",-0.26,2,1,0.559,4.97e-10,5.00e-01,8.75e-01,NS,28.215,319.402,53.189,160.527,1.376,50.0,2.31e-07,1.07e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-107,0.261,"Fallopian tube [0.05], Kidney [0.05], Lung [0.05]",0.465,"Kidney [0.07], Liver [0.06], Brain [0.06]",-0.204,0,0,0.522,6.73e-12,–,–,NS,26.401,166.428,329.169,1656.419,3.905,10.0,3.11e-09,4.08e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-128-3p,0.261,"Thymus [0.05], Thorax [0.05], Brain [0.05]",0.328,"Brain [0.06], Whole Blood [0.04], Soft Tissues [0.04]",-0.068,2,0,0.747,4.72e-08,2.50e-01,1.00e+00,NS,6593.603,101678.133,995.042,5048.531,-2.156,577.0,2.15e-06,6.94e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-455-3p,0.26,"Thorax [0.05], Thymus [0.05], Liver–Gallbladder [0.05]",0.417,"Liver [0.06], Kidney [0.06], Vagina [0.05]",-0.157,6,1,0.586,6.47e-06,6.25e-02,9.92e-01,NS,22.64,113.333,679.253,3303.64,4.695,2.0,1.23e-09,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-27b-3p,0.26,"Fallopian tube [0.05], Pancreas [0.05], Kidney [0.05]",0.088,"Mucosa [0.04], Heart [0.04], Kidney [0.04]",0.172,1,2,-0.757,3.66e-15,8.75e-01,5.00e-01,NS,15161.326,30744.745,6469.958,55641.477,-1.864,574.0,2.84e-06,8.80e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-146b-5p,0.257,"Thyroid [0.05], Fallopian tube [0.05], Lung [0.05]",0.232,"Lung [0.05], Spleen [0.04], Liver [0.04]",0.025,9,0,1.223,1.78e-12,1.95e-03,1.00e+00,UP,2307.999,12954.711,5124.943,42195.973,0.863,208.0,2.82e-02,3.95e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-140-5p,0.257,"Bone Marrow [0.05], Lymph nodes [0.05], Testis [0.05]",0.228,"Soft Tissues [0.05], Kidney [0.05], Spleen [0.04]",0.029,0,2,-0.456,1.49e-09,1.00e+00,2.50e-01,NS,215.909,720.063,108.395,359.586,-0.99,509.0,5.45e-04,1.02e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-375-3p,0.256,"Adrenal Gland [0.05], Prostate [0.05], Pancreas [0.05]",0.401,"Pancreas [0.06], Stomach [0.06], Salivary Gland [0.06]",-0.145,5,4,0.391,1.48e-07,5.00e-01,7.46e-01,NS,4833.916,46883.081,27842.74,143729.584,3.366,136.0,3.83e-04,7.46e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-127-3p,0.256,"Adrenal Gland [0.05], Testis [0.05], Peritoneum [0.05]",0.308,"Adrenal Gland [0.05], Brain [0.05], Testis [0.04]",-0.052,1,6,-1.237,4.12e-13,9.92e-01,6.25e-02,NS,2182.1,21293.77,3108.661,18112.137,0.568,247.0,1.44e-01,1.80e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-212-3p,0.254,"Fallopian tube [0.05], Skin [0.05], Thorax [0.05]",0.571,"Brain [0.09], Adrenal Gland [0.07], Kidney [0.05]",-0.317,2,1,-0.068,5.13e-06,5.00e-01,8.75e-01,NS,7.944,61.097,15.812,35.165,1.253,76.0,2.84e-06,8.80e-06,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-335-3p,0.253,"Testis [0.05], Fallopian tube [0.05], Kidney [0.05]",0.39,"Omentum [0.06], Breast [0.06], Adrenal Gland [0.05]",-0.137,5,2,0.758,2.29e-07,2.27e-01,9.38e-01,NS,331.144,2931.291,350.503,1550.932,0.851,205.0,2.43e-02,3.46e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-378a-5p,0.252,"Ovary [0.05], Lymph nodes [0.05], Bone Marrow [0.05]",0.316,"Heart [0.06], Whole Blood [0.05], Soft Tissues [0.05]",-0.064,1,5,-0.952,1.71e-13,9.84e-01,1.09e-01,NS,119.414,440.226,229.633,867.591,1.259,173.0,4.31e-03,6.76e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-15a-5p,0.25,"Bone Marrow [0.05], Lymph nodes [0.05], Thymus [0.05]",0.32,"Spleen [0.06], Lung [0.05], Kidney [0.05]",-0.07,2,0,0.708,2.98e-10,2.50e-01,1.00e+00,NS,43.826,182.832,640.736,2945.709,3.588,2.0,1.23e-09,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-181b-5p,0.25,"Bone Marrow [0.05], Thymus [0.05], Fallopian tube [0.05]",0.246,"Brain [0.05], Spleen [0.05], Lung [0.05]",0.004,8,0,1.142,9.52e-12,3.91e-03,1.00e+00,UP,656.746,2995.805,2290.112,14185.938,1.673,112.0,6.23e-05,1.43e-04,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-629-5p,0.249,"Testis [0.05], Lymph nodes [0.05], Bone Marrow [0.05]",0.418,"Whole Blood [0.06], Spleen [0.05], Mucosa [0.05]",-0.169,2,0,0.773,2.78e-06,2.50e-01,1.00e+00,NS,19.316,97.108,301.993,1086.156,3.75,11.0,3.48e-09,4.43e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
