,mature_name,Tau_gtex,gtex_tissues
80,hsa-mir-431-5p,0.678030004595589,"Adrenal Gland [0.11], Spleen [0.09], Brain [0.08]"
81,hsa-mir-153-3p,0.6764844458448812,"Brain [0.11], Testis [0.07], Stomach [0.06]"
82,hsa-mir-509-3-5p,0.6757501250351315,"Testis [0.11], Ovary [0.07], Adrenal Gland [0.07]"
83,hsa-mir-671-3p,0.6745774836958502,"Whole Blood [0.11], Heart [0.08], Adrenal Gland [0.07]"
84,hsa-mir-551b-3p,0.6708423439733473,"Omentum [0.11], Brain [0.10], Breast [0.08]"
85,hsa-mir-206,0.66857188303992,"Soft Tissues [0.11], Salivary Gland [0.09], Prostate [0.07]"
86,hsa-mir-487a-3p,0.6676779930222396,"Brain [0.11], Adrenal Gland [0.10], Spleen [0.06]"
87,hsa-mir-18a-3p,0.6668449275037952,"Whole Blood [0.11], Testis [0.05], Spleen [0.05]"
88,hsa-mir-592,0.6636173629751609,"Brain [0.11], Liver [0.08], Adrenal Gland [0.08]"
89,hsa-mir-93-3p,0.6604554812935458,"Whole Blood [0.11], Spleen [0.05], Lung [0.05]"
90,hsa-mir-499a-5p,0.652197332404811,"Heart [0.10], Soft Tissues [0.08], Salivary Gland [0.05]"
91,hsa-mir-133b,0.6508144706933592,"Heart [0.10], Soft Tissues [0.10], Salivary Gland [0.06]"
92,hsa-mir-299-5p,0.6486110558124125,"Adrenal Gland [0.10], Brain [0.09], Testis [0.07]"
93,hsa-mir-514a-3p,0.6466662252001271,"Testis [0.10], Kidney [0.07], Adrenal Gland [0.07]"
94,hsa-mir-185-3p,0.6428173879664234,"Whole Blood [0.10], Spleen [0.06], Heart [0.06]"
95,hsa-mir-411-3p,0.6426980666052436,"Adrenal Gland [0.10], Brain [0.09], Testis [0.06]"
96,hsa-mir-382-3p,0.6405942231421661,"Adrenal Gland [0.10], Brain [0.09], Spleen [0.08]"
97,hsa-mir-196a-5p,0.6388083843625383,"Skin [0.10], Kidney [0.10], Soft Tissues [0.09]"
98,hsa-mir-4661-5p,0.6371397881098431,"Whole Blood [0.10], Testis [0.06], Spleen [0.06]"
99,hsa-mir-615-3p,0.6361972376133871,"Kidney [0.10], Soft Tissues [0.09], Skin [0.08]"
