mature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,project_id,n_normal,n_tumor
hsa-mir-660-5p,194.46930943887926,-0.49685430000192116,0.10745703350688719,-4.62374852335819,3.7686672447919506e-06,8.360376761435018e-06,TCGA-HNSC,44,515
hsa-mir-671-3p,13.307201385309336,0.15490574636000717,0.1334654093264334,1.1606433992281433,0.24578694850252214,0.29463901280116006,TCGA-HNSC,44,515
hsa-mir-671-5p,24.549519639277822,1.6316973214175925,0.14142436226504135,11.537597167025949,8.527405865451898e-31,1.0617995690530428e-29,TCGA-HNSC,44,515
hsa-mir-7-1-3p,78.26191582696428,0.9345242804859805,0.1201061651119591,7.780818575090188,7.205676907566844e-15,3.311180102762859e-14,TCGA-HNSC,44,515
hsa-mir-7-5p,18.979570551838925,1.750211808328903,0.22511681656624705,7.774682651546174,7.563678226941539e-15,3.434799759528746e-14,TCGA-HNSC,44,515
hsa-mir-708-3p,927.1163668190652,1.0707249143407949,0.1361313415058926,7.865381347868722,3.679747392115119e-15,1.7535586337733776e-14,TCGA-HNSC,44,515
hsa-mir-708-5p,403.9731861551872,1.277758952516938,0.14124576748906043,9.046352150806225,1.4782415905793802e-19,8.645473544903648e-19,TCGA-HNSC,44,515
hsa-mir-744-5p,120.78585500403933,0.26065487523949715,0.12461019040581768,2.091762113440507,0.0364598010557954,0.05117630257286191,TCGA-HNSC,44,515
hsa-mir-758-3p,50.591330755956854,-0.3473144617168509,0.19285740710736915,-1.8008873339435238,0.07172063976622525,0.09480879092384571,TCGA-HNSC,44,515
hsa-mir-760,4.206823383665712,0.8552267605614291,0.27949272626670324,3.0599249289419332,0.0022139247737434677,0.003621080350275333,TCGA-HNSC,44,515
hsa-mir-766-3p,34.25847744124931,0.9237156303908386,0.1110118551050995,8.320873743766546,8.731722207914193e-17,4.554655097641727e-16,TCGA-HNSC,44,515
hsa-mir-769-5p,80.62416978957806,-0.01248979519070664,0.10251733762908595,-0.12183105296682097,0.9030328204189291,0.9197115268646612,TCGA-HNSC,44,515
hsa-mir-874-3p,84.28596617244561,0.1173333898478158,0.12094752941045109,0.9701181199793653,0.33198761796971743,0.3906927455375333,TCGA-HNSC,44,515
hsa-mir-885-5p,4.702647817161788,-2.1191330401713784,0.3557861650459268,-5.9561985494793745,2.5817265069474023e-09,7.118188797726409e-09,TCGA-HNSC,44,515
hsa-mir-887-3p,10.512503963285655,-0.6204646472104249,0.1612931001191047,-3.846814567717102,0.00011966346544730964,0.0002321110435309624,TCGA-HNSC,44,515
hsa-mir-889-3p,84.13602900594711,-1.1338284212841636,0.15520788055857201,-7.3052245620755185,2.7680405636937544e-13,1.0578848094908804e-12,TCGA-HNSC,44,515
hsa-mir-9-3p,21.10746547714411,1.4952602229803367,0.32979894437593793,4.5338538781855195,5.791710334946801e-06,1.2489386532343381e-05,TCGA-HNSC,44,515
hsa-mir-9-5p,18504.571274730573,3.2126587799614024,0.3392329146285875,9.47036281393512,2.7887336780104426e-21,1.8559503443310875e-20,TCGA-HNSC,44,515
hsa-mir-92a-1-5p,25.313428367209834,1.243823712466312,0.18586740384548542,6.691994866944625,2.2014859098022467e-11,7.389335314640584e-11,TCGA-HNSC,44,515
hsa-mir-92a-3p,54652.34896795524,0.7858787480051947,0.10272710307244572,7.6501597387689735,2.0072980445144603e-14,8.514473023984414e-14,TCGA-HNSC,44,515
hsa-mir-92b-3p,420.64393879027034,0.7091576112788582,0.13132592011754304,5.399982049576565,6.664756538035993e-08,1.6179849205546498e-07,TCGA-HNSC,44,515
hsa-mir-93-3p,46.93838067958824,1.5915194603894,0.12953350926144283,12.28654631117243,1.0697968665453953e-34,2.1733767920343293e-33,TCGA-HNSC,44,515
hsa-mir-93-5p,27227.91371439447,1.262318279245159,0.12890609545832696,9.792541421388751,1.212102641204476e-22,9.74732540635266e-22,TCGA-HNSC,44,515
hsa-mir-934,2.788001129377644,0.06265453457274488,0.45717217869656135,0.13704800399573427,0.8909928513497122,0.9129970852400232,TCGA-HNSC,44,515
hsa-mir-935,8.680763505761034,0.18407043712928559,0.31233093202054507,0.5893442443836382,0.555630370409506,0.6075731529123777,TCGA-HNSC,44,515
hsa-mir-944,942.9710197050645,1.321609464833904,0.17899597966094893,7.383458932079221,1.5422925476127933e-13,6.013383064429679e-13,TCGA-HNSC,44,515
hsa-mir-95-3p,36.57822849057855,-1.1226733088355727,0.19887402562263137,-5.645148004223912,1.6503920799954314e-08,4.2755123683103125e-08,TCGA-HNSC,44,515
hsa-mir-96-5p,82.80892308694295,1.4032239121217338,0.16334763990204357,8.590414363888085,8.665623699217293e-18,4.7111700674617957e-17,TCGA-HNSC,44,515
hsa-mir-98-5p,234.2551633513406,-0.10390043475912308,0.09641446177511973,-1.0776436734300698,0.28119280418007897,0.3329460810230383,TCGA-HNSC,44,515
hsa-mir-99a-3p,12.974292447400268,-1.3154584666072,0.2168818581530478,-6.065322742112047,1.3168893779299385e-09,3.7103598531456657e-09,TCGA-HNSC,44,515
hsa-mir-99a-5p,2150.731098273782,-1.9798703026499969,0.20647852856934537,-9.588746667114405,8.916147761030275e-22,6.2575146104685205e-21,TCGA-HNSC,44,515
hsa-mir-99b-3p,242.95102231601174,0.6912513739244798,0.12217691046996924,5.657790586334948,1.533340641898584e-08,3.9991181606273876e-08,TCGA-HNSC,44,515
hsa-mir-99b-5p,62294.83713770347,0.3126563824954299,0.09245654831356652,3.3816575266800495,0.000720499091344116,0.001264148405721949,TCGA-HNSC,44,515
hsa-let-7a-3p,85.65913056936814,-0.29882026525305366,0.12176366346246031,-2.4541004824906554,0.014123750928483883,0.020760212208132938,TCGA-KICH,25,66
hsa-let-7b-3p,121.28389001297695,0.3378099374057304,0.14083684751195188,2.3985905916920123,0.016458304787319588,0.023998962359199082,TCGA-KICH,25,66
hsa-let-7b-5p,65748.22754295079,-0.2414973735651267,0.1596565080858624,-1.5126058840974446,0.13037979866693256,0.16013089366475608,TCGA-KICH,25,66
hsa-let-7d-3p,2048.4230701771726,0.9023026729184234,0.13123885938693608,6.8752706106514765,6.187229324857463e-12,2.358881180101908e-11,TCGA-KICH,25,66
hsa-let-7d-5p,1046.226275676852,0.3531823481268342,0.09361575173117136,3.772680789244088,0.00016150286079773837,0.0003078648283956888,TCGA-KICH,25,66
hsa-let-7e-3p,59.02155568088218,-0.4003726752730523,0.10826441879763611,-3.698100259711496,0.00021721909591890042,0.0004056234138077426,TCGA-KICH,25,66
hsa-let-7e-5p,8491.159979600314,0.28636295293523645,0.11387338360196844,2.5147487839316853,0.011911722747428945,0.017650568929388637,TCGA-KICH,25,66
hsa-let-7g-5p,3562.16106772699,0.7974620364613461,0.10023037762176065,7.9562908509706345,1.7727340034761465e-15,9.541480077533377e-15,TCGA-KICH,25,66
hsa-let-7i-3p,258.134831233292,-0.009692983626139236,0.12365766593442994,-0.07838562658362795,0.9375213066746573,0.9426725226453971,TCGA-KICH,25,66
hsa-let-7i-5p,1497.5385446794273,0.3232576695206904,0.10355901193357865,3.1214827515737937,0.001799427886859795,0.003007263043793082,TCGA-KICH,25,66
hsa-mir-1-3p,40.5747447851467,-2.226336380756636,0.26677332632849254,-8.345423477665177,7.09591540299627e-17,4.4018729449095506e-16,TCGA-KICH,25,66
hsa-mir-100-5p,40197.53760275459,0.39220476485420186,0.2170770025550134,1.8067541021753615,0.07080062796945856,0.09060499942944697,TCGA-KICH,25,66
hsa-mir-101-3p,132474.25394128406,0.4670575505700507,0.12968491107238667,3.6014795145238723,0.000316411358788801,0.0005704756518064096,TCGA-KICH,25,66
hsa-mir-105-5p,1.4688081426802295,-1.1195476831962141,0.8631312122961253,-1.2970770460472199,0.1946046785101927,0.23050262891498552,TCGA-KICH,25,66
hsa-mir-106b-3p,862.2586898098199,1.5619150679333051,0.14113151125235265,11.06708951157262,1.8119000810651477e-28,3.1578829984278287e-27,TCGA-KICH,25,66
