,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
236,hsa-mir-377-5p,1,8,-1.532,2.61e-07,0.998046875,0.01953125,DOWN
237,hsa-mir-378a-3p,1,5,-0.942,4.405000000000001e-13,0.984375,0.109375,NS
238,hsa-mir-378a-5p,1,5,-0.9524999999999999,1.71e-13,0.984375,0.109375,NS
239,hsa-mir-379-3p,0,6,-1.2189999999999999,8.64e-05,1.0,0.015625,DOWN
240,hsa-mir-379-5p,1,6,-1.2469999999999999,1.6725e-15,0.9921875,0.0625,NS
241,hsa-mir-381-3p,2,7,-1.111,2.675000000785e-12,0.98046875,0.08984375,NS
242,hsa-mir-382-3p,2,2,-0.014000000000000012,0.00012695,0.6875,0.6875,NS
243,hsa-mir-382-5p,2,1,0.10100000000000003,0.000214,0.5,0.875,NS
244,hsa-mir-383-5p,2,5,-1.808,1.4220000000000001e-05,0.9375,0.2265625,NS
245,hsa-mir-3909,1,0,0.481,1.17604e-05,0.5,1.0,NS
246,hsa-mir-409-3p,2,0,0.545,2.72e-07,0.25,1.0,NS
247,hsa-mir-409-5p,4,2,0.6605000000000001,8.1785e-08,0.34375,0.890625,NS
248,hsa-mir-410-3p,2,2,-0.813,8.935e-08,0.6875,0.6875,NS
249,hsa-mir-411-3p,1,4,-1.0165,0.00021349999999999999,0.96875,0.1875,NS
250,hsa-mir-411-5p,1,6,-1.1,3.156e-10,0.9921875,0.0625,NS
251,hsa-mir-412-5p,4,2,1.171,2.5e-06,0.34375,0.890625,NS
252,hsa-mir-421,4,0,0.988,9.18e-08,0.0625,1.0,NS
253,hsa-mir-423-5p,2,1,0.414,8.57e-22,0.5,0.875,NS
254,hsa-mir-424-3p,3,3,0.5745,7.52e-08,0.65625,0.65625,NS
255,hsa-mir-424-5p,4,4,0.328,1.38e-10,0.63671875,0.63671875,NS
256,hsa-mir-425-3p,2,0,0.488,1.8050353e-08,0.25,1.0,NS
257,hsa-mir-425-5p,6,1,0.8965,3.815000117e-11,0.0625,0.9921875,NS
258,hsa-mir-429,5,1,1.525,4.82e-18,0.109375,0.984375,NS
259,hsa-mir-431-3p,3,3,-0.728,2.31e-08,0.65625,0.65625,NS
260,hsa-mir-431-5p,8,0,1.795,1.015e-05,0.00390625,1.0,UP
261,hsa-mir-432-5p,2,5,-0.9345000000000001,2.4801e-07,0.9375,0.2265625,NS
262,hsa-mir-433-3p,2,6,-1.32,3.98e-10,0.96484375,0.14453125,NS
263,hsa-mir-449a,7,0,3.269,1.79e-10,0.0078125,1.0,UP
264,hsa-mir-450a-5p,4,4,0.51,2.44e-08,0.63671875,0.63671875,NS
265,hsa-mir-450b-5p,5,3,0.571,3.67e-12,0.36328125,0.85546875,NS
266,hsa-mir-452-5p,7,1,1.282,6.63e-15,0.03515625,0.99609375,UP
267,hsa-mir-454-3p,5,0,0.8415,4.4249999999999997e-10,0.03125,1.0,UP
268,hsa-mir-455-3p,6,1,0.5855,6.465e-06,0.0625,0.9921875,NS
269,hsa-mir-455-5p,3,2,0.7030000000000001,8.75000615e-08,0.5,0.8125,NS
270,hsa-mir-4661-5p,9,1,1.077,2.89e-08,0.0107421875,0.9990234375,UP
271,hsa-mir-483-3p,6,5,0.903,1.82e-05,0.5,0.7255859375,NS
272,hsa-mir-483-5p,6,4,1.276,3.0315e-05,0.376953125,0.828125,NS
273,hsa-mir-485-3p,3,4,-0.08750000000000002,3.35e-06,0.7734375,0.5,NS
274,hsa-mir-485-5p,1,4,-1.238,0.000247,0.96875,0.1875,NS
275,hsa-mir-486-5p,4,8,-1.104,3.96e-10,0.927001953125,0.19384765625,NS
276,hsa-mir-487a-3p,3,1,1.3865,8.845000000000001e-06,0.3125,0.9375,NS
277,hsa-mir-487a-5p,1,5,-1.112,1.755e-05,0.984375,0.109375,NS
278,hsa-mir-487b-3p,2,5,-0.8075,2.645535e-05,0.9375,0.2265625,NS
279,hsa-mir-493-3p,5,2,0.966,6.18e-05,0.2265625,0.9375,NS
280,hsa-mir-493-5p,4,4,0.5465,1.1859999999999999e-07,0.63671875,0.63671875,NS
281,hsa-mir-494-3p,2,5,-0.9339999999999999,3.8e-05,0.9375,0.2265625,NS
282,hsa-mir-495-3p,1,6,-1.1844999999999999,4.1249999999999997e-07,0.9921875,0.0625,NS
283,hsa-mir-497-5p,1,8,-1.0125,5.10097e-11,0.998046875,0.01953125,DOWN
284,hsa-mir-499a-5p,1,3,-1.246,3.64e-05,0.9375,0.3125,NS
285,hsa-mir-500a-5p,2,3,0.40800000000000003,1.120227e-08,0.8125,0.5,NS
286,hsa-mir-500b-5p,2,3,0.4075,1.2802325e-08,0.8125,0.5,NS
