,p_value,fdr,description,source,fold_enrichment
209,0.00021,0.0179,Toll Like Receptor 9 (TLR9) Cascade,Reactome,1.6184595651195
127,0.00013,0.0184,Protein K48-linked ubiquitination,GO: Biological Process,1.9535312719606461
130,0.00014,0.0186,Import into nucleus,GO: Biological Process,1.5759580009094292
128,0.00014,0.0186,Regulation of anatomical structure morphogenesis,GO: Biological Process,1.002246478658071
129,0.00014,0.0186,Positive regulation of catalytic activity,GO: Biological Process,0.9666507945218089
210,0.00023,0.0189,SARS-CoV-2-host interactions,Reactome,1.3350766481741103
131,0.00014,0.0191,Ubiquitin-dependent ERAD pathway,GO: Biological Process,1.778825223248719
132,0.00015,0.0196,Regulation of macroautophagy,GO: Biological Process,1.4415995969185482
136,0.00016,0.0199,Positive regulation of signaling,GO: Biological Process,0.9234596197254096
134,0.00015,0.0199,Protein import into nucleus,GO: Biological Process,1.585474655504293
133,0.00015,0.0199,Blood vessel development,GO: Biological Process,1.1037774051474016
135,0.00015,0.0199,Regulation of autophagy,GO: Biological Process,1.189433298534806
137,0.00016,0.0206,Phospholipid biosynthetic process,GO: Biological Process,1.2862757346242941
138,0.00017,0.0212,Positive regulation of macroautophagy,GO: Biological Process,1.8303356061613265
211,0.00028,0.022,Infectious disease,Reactome,0.9884825629113849
212,0.00029,0.022,SARS-CoV Infections,Reactome,1.1280732081394813
139,0.00019,0.0237,Regulation of cell migration,GO: Biological Process,0.9946782743963595
140,0.00021,0.0256,Tube development,GO: Biological Process,1.0004448029131796
141,0.00021,0.0258,Regulation of type I interferon production,GO: Biological Process,1.6184595651195
142,0.00021,0.0258,Cellular response to cytokine stimulus,GO: Biological Process,1.0330910805305247
0,9.83e-05,0.0265,Autophagy - animal,KEGG,1.5508950556023455
5,0.00011,0.0265,Shigellosis,KEGG,1.3381987918017884
9,0.00068,0.0265,Prostate cancer,KEGG,1.5574544848620961
8,0.00027,0.0265,MicroRNAs in cancer,KEGG,1.4088359697158541
7,7.89e-05,0.0265,Proteoglycans in cancer,KEGG,1.3963385036694655
6,0.00012,0.0265,Herpes simplex virus 1 infection,KEGG,1.1225312190345695
1,0.00072,0.0265,Protein processing in endoplasmic reticulum,KEGG,1.342303696071119
2,0.00019,0.0265,Signaling pathways regulating pluripotency of stem cells,KEGG,1.4778487163768483
3,0.00062,0.0265,Insulin resistance,KEGG,1.523508664925284
4,0.00034,0.0265,Pathogenic Escherichia coli infection,KEGG,1.3371764856201216
143,0.00022,0.0271,Regulation of DNA-binding transcription factor activity,GO: Biological Process,1.1231311288336439
145,0.00023,0.0271,Cellular response to chemical stimulus,GO: Biological Process,0.8785524565352595
144,0.00023,0.0271,Regulation of biological quality,GO: Biological Process,0.8525536950428511
214,0.0004,0.0278,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Reactome,1.5947194056821605
215,0.00039,0.0278,MyD88 cascade initiated on plasma membrane,Reactome,1.6244417745335842
216,0.00041,0.0278,Antigen processing: Ubiquitination & Proteasome degradation,Reactome,1.1863028186163662
213,0.00038,0.0278,Metabolism of proteins,Reactome,0.8994871862548761
146,0.00024,0.028,Biosynthetic process,GO: Biological Process,0.881401712488762
147,0.00025,0.0298,Positive regulation of cell communication,GO: Biological Process,0.9169558086934793
148,0.00026,0.0306,Cellular response to growth factor stimulus,GO: Biological Process,1.1013566015282008
149,0.00027,0.0307,Golgi vesicle transport,GO: Biological Process,1.2131518401216799
150,0.00027,0.0312,ERAD pathway,GO: Biological Process,1.614919184820801
153,0.00028,0.0319,Positive regulation of intracellular signal transduction,GO: Biological Process,0.9770922042304002
151,0.00028,0.0319,Protein autoubiquitination,GO: Biological Process,1.7590238292978981
152,0.00028,0.0319,Regulation of dendritic spine development,GO: Biological Process,1.9890500223599312
217,0.00054,0.032,PI3K/AKT Signaling in Cancer,Reactome,1.5380182712579058
154,0.0003,0.033,Regulation of I-kappaB kinase/NF-kappaB signaling,GO: Biological Process,1.246174197015419
14,0.0013,0.0341,Central carbon metabolism in cancer,KEGG,1.6853995287503616
13,0.0011,0.0341,Pathways in cancer,KEGG,1.041883345045678
12,0.0011,0.0341,NOD-like receptor signaling pathway,KEGG,1.2948261224556117
11,0.0013,0.0341,Gap junction,KEGG,1.5568371822521627
10,0.0011,0.0341,TGF-beta signaling pathway,KEGG,1.5456511162765556
155,0.00031,0.0346,Membrane organization,GO: Biological Process,1.0108829350378508
156,0.00032,0.0351,Positive regulation of biosynthetic process,GO: Biological Process,0.8941162360127574
157,0.00032,0.0351,Positive regulation of cellular biosynthetic process,GO: Biological Process,0.8958869527462838
158,0.00032,0.0351,Organic substance biosynthetic process,GO: Biological Process,0.8803444178810899
159,0.00032,0.0351,Regulation of cell motility,GO: Biological Process,0.9754474637320367
160,0.00033,0.0352,Localization within membrane,GO: Biological Process,1.0710950276170523
221,0.00065,0.0359,RAC2 GTPase cycle,Reactome,1.6167155354157077
220,0.00063,0.0359,Signaling by WNT in cancer,Reactome,2.298272084659584
219,0.00064,0.0359,Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,1.8943333546285057
218,0.00067,0.0359,Hemostasis,Reactome,1.0298682158606374
222,0.00069,0.0361,Transcriptional Regulation by TP53,Reactome,1.125580345063198
163,0.00036,0.0382,Response to oxygen levels,GO: Biological Process,1.179490579296994
162,0.00036,0.0382,Negative regulation of nitrogen compound metabolic process,GO: Biological Process,0.8801594633552754
161,0.00036,0.0382,Peptidyl-serine phosphorylation,GO: Biological Process,1.3225980286849284
223,0.00076,0.0385,ISG15 antiviral mechanism,Reactome,1.6895405595335318
165,0.00037,0.0386,Macroautophagy,GO: Biological Process,1.3300638447391635
164,0.00037,0.0386,Vesicle organization,GO: Biological Process,1.1737266078446684
15,0.0018,0.0386,AMPK signaling pathway,KEGG,1.3891777933942375
224,0.00078,0.0388,Intra-Golgi and retrograde Golgi-to-ER traffic,Reactome,1.269957311125329
167,0.00038,0.0392,Cellular response to oxygen levels,GO: Biological Process,1.4051716166734474
166,0.00038,0.0392,Regulation of small molecule metabolic process,GO: Biological Process,1.1681722353542452
168,0.00039,0.0394,Cellular response to leukemia inhibitory factor,GO: Biological Process,1.6244417745335842
169,0.00039,0.0397,Peptidyl-amino acid modification,GO: Biological Process,0.984000936987585
170,0.00041,0.0408,Protein phosphorylation,GO: Biological Process,1.0121556952549726
171,0.00041,0.0409,Vasculature development,GO: Biological Process,1.0675844522289681
172,0.00041,0.0409,Cellular response to fibroblast growth factor stimulus,GO: Biological Process,1.6744553759662686
173,0.00041,0.0409,Organonitrogen compound biosynthetic process,GO: Biological Process,0.9344245247046441
16,0.0021,0.0418,TNF signaling pathway,KEGG,1.4079504662779436
174,0.00045,0.0435,Endomembrane system organization,GO: Biological Process,1.0569831036695285
225,0.00091,0.044,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Reactome,1.4815772337805515
229,0.00091,0.044,TRIF(TICAM1)-mediated TLR4 signaling,Reactome,1.5027163630466511
226,0.001,0.044,Toll Like Receptor 3 (TLR3) Cascade,Reactome,1.5107308503162333
228,0.001,0.044,Neddylation,Reactome,1.2054848620363217
227,0.00095,0.044,Signaling by Interleukins,Reactome,1.069482903854835
175,0.00046,0.0442,Positive regulation of signal transduction,GO: Biological Process,0.9189069502206144
176,0.00047,0.0447,Regulation of cytoskeleton organization,GO: Biological Process,1.0592159700094694
177,0.00048,0.0452,Regulation of pattern recognition receptor signaling pathway,GO: Biological Process,1.5528069084815395
178,0.0005,0.0471,Cellular biosynthetic process,GO: Biological Process,0.8777933347336577
179,0.00051,0.0481,Negative regulation of phosphorylation,GO: Biological Process,1.1324818967887804
180,0.00053,0.0493,Protein dephosphorylation,GO: Biological Process,1.3239401622127402
181,0.00053,0.0493,Protein localization to membrane,GO: Biological Process,1.087680415157576
182,0.00054,0.0499,Anatomical structure formation involved in morphogenesis,GO: Biological Process,0.9719061054530581
183,0.00054,0.0499,Circulatory system development,GO: Biological Process,0.9771269995156471
230,0.0012,0.0499,Cellular responses to stress,Reactome,0.9833035585772464
