MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT1390836,Homo sapiens,Homo sapiens,hsa-miR-421,SRSF5,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1391555,Homo sapiens,Homo sapiens,hsa-miR-421,SS18L1,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1392418,Homo sapiens,Homo sapiens,hsa-miR-421,SSR1,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1392687,Homo sapiens,Homo sapiens,hsa-miR-421,SSR3,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1394637,Homo sapiens,Homo sapiens,hsa-miR-421,STAG3L1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1394826,Homo sapiens,Homo sapiens,hsa-miR-421,STAM2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1395481,Homo sapiens,Homo sapiens,hsa-miR-421,STARD7,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1397246,Homo sapiens,Homo sapiens,hsa-miR-421,STK16,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1398563,Homo sapiens,Homo sapiens,hsa-miR-421,STK4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1399557,Homo sapiens,Homo sapiens,hsa-miR-421,STRN,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1399745,Homo sapiens,Homo sapiens,hsa-miR-421,STRN3,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1400224,Homo sapiens,Homo sapiens,hsa-miR-421,STX16,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1401833,Homo sapiens,Homo sapiens,hsa-miR-421,STYK1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1403562,Homo sapiens,Homo sapiens,hsa-miR-421,SUPT4H1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1404959,Homo sapiens,Homo sapiens,hsa-miR-421,SYAP1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1406152,Homo sapiens,Homo sapiens,hsa-miR-421,SYNJ1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1406565,Homo sapiens,Homo sapiens,hsa-miR-421,SYNPO2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1407054,Homo sapiens,Homo sapiens,hsa-miR-421,SYS1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1407516,Homo sapiens,Homo sapiens,hsa-miR-421,SYT15,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1409562,Homo sapiens,Homo sapiens,hsa-miR-421,TAF5,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1410730,Homo sapiens,Homo sapiens,hsa-miR-421,TAOK1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1411344,Homo sapiens,Homo sapiens,hsa-miR-421,TAPT1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1412125,Homo sapiens,Homo sapiens,hsa-miR-421,TBC1D13,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1413290,Homo sapiens,Homo sapiens,hsa-miR-421,TBC1D30,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1413806,Homo sapiens,Homo sapiens,hsa-miR-421,TBC1D9,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1417518,Homo sapiens,Homo sapiens,hsa-miR-421,TEAD2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1418541,Homo sapiens,Homo sapiens,hsa-miR-421,TESK2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1420786,Homo sapiens,Homo sapiens,hsa-miR-421,TFRC,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1422048,Homo sapiens,Homo sapiens,hsa-miR-421,TGOLN2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1425205,Homo sapiens,Homo sapiens,hsa-miR-421,TIMP2,0,0,0,0,0,0,1,1,1,5,2,Tier B: High
MIRT1425884,Homo sapiens,Homo sapiens,hsa-miR-421,TK1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1428512,Homo sapiens,Homo sapiens,hsa-miR-421,TMCO7,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1428639,Homo sapiens,Homo sapiens,hsa-miR-421,TMED10,0,0,0,0,0,0,1,1,1,3,2,Tier B: High
MIRT1429672,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM106B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1431730,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM159,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1431888,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM164,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1432236,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM167A,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1432678,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM170B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1433059,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM181,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1433706,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM185B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1435929,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM231,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1438973,Homo sapiens,Homo sapiens,hsa-miR-421,TMEM68,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1440663,Homo sapiens,Homo sapiens,hsa-miR-421,TMPO,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1444288,Homo sapiens,Homo sapiens,hsa-miR-421,TNPO1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1445063,Homo sapiens,Homo sapiens,hsa-miR-421,TNRC6B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1446191,Homo sapiens,Homo sapiens,hsa-miR-421,TOLLIP,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1446644,Homo sapiens,Homo sapiens,hsa-miR-421,TOMM34,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
