MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT519435,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KCNA7,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT519551,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TMEM38A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT519580,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNFX1,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT520085,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,YIPF4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT520159,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,WSB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT521013,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SOCS5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT521306,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RRAGD,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT521552,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,QSOX1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT522175,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NR2F6,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT522196,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NR2C2,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT522509,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MFN1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT523086,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HYPK,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT523657,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FOXK1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT524086,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DNAJC10,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT524254,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DCTN6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT524298,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CYCS,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT524460,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CNKSR3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT524705,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BTG3,1,1,1,0,1,0,1,0,0,5,8,Tier B: High
MIRT524982,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,AGO3,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
MIRT525207,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF93,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT525491,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TPK1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
